ID,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear
343,CN,1919,1946,0,27,,,PGK,Female,
344,CB,,,1,,,1,PGK,Male,1929
345,KK,1918,1946,0,28,,,PGK,Female,
346,GB,1924,1946,0,22,,,PGK,Male,
347,CB,1919,1946,0,27,,,PGK,Male,
348,GN,1930,1946,0,16,,,PGK,Male,
349,KK,1943,1946,0,3,,,PGK,Female,
350,PB,1919,1946,0,27,,,PGK,Male,
351,PB,1932,1940,1,8,1,,PGK,Male,1938
352,SL,1903,1946,0,43,,,PGK,Male,
353,KK,1911,1946,0,35,,,PGK,Male,
354,GB,,,1,,,1,PGK,Male,1932
355,KK,1928,1946,0,18,,,PGK,Male,
356,KK,1932,1946,0,14,,,PGK,Male,
357,KK,1929,1934,1,5,,1,PGK,Male,1933
358,SL,1918,1946,0,28,,,PGK,Male,
359,KK,1929,1946,0,17,,,PGK,Female,
360,SL,,,0,,,,PGK,Male,
361,KK,,,1,,,1,PGK,Male,1944
362,CN,1910,1931,0,21,,,PGK,Male,
363,HH,1945,1946,0,1,,,PGK,Male,
364,SL,1928,1930,1,2,,1,PGK,Male,1929
365,PN,,,1,,1,,PGK,Male,1942
366,CN,,,1,,,1,PGK,Male,1928
367,SL,1926,1934,0,8,,,PGK,Male,
368,PB,1914,1946,0,32,,,PGK,Male,
369,PB,1904,1946,0,42,,,PGK,Male,
370,CN,1935,1944,0,9,,,PGK,Male,
371,PB,1922,1946,0,24,,,PGK,Male,
372,KK,1922,1946,0,24,,,PGK,Male,
373,PB,1925,1927,0,2,,,PGK,Male,
374,PB,,,0,,,,PGK,Female,
375,PB,,,1,,1,,PGK,Male,1919
376,PB,,,1,,,1,PGK,Male,1928
377,PB,1919,1924,1,5,,1,PGK,Male,1923
378,PB,1919,1922,1,3,,1,PGK,Male,1921
379,HB,1908,1921,1,13,1,,PGK,Male,1920
380,NA,,,1,,1,,PGK,Male,1920
381,SL,1919,1946,1,27,,1,PGK,Male,1930
382,DJ,,,1,,1,,PGK,Male,1941
383,PN,1943,1946,0,3,,,PGK,Female,
384,PB,,,1,,,1,PGK,Male,1940
385,HH,1920,1929,0,9,,,PGK,Male,
386,PN,1925,1937,1,12,,1,PGK,Male,1936
387,HB,1919,1920,1,1,,1,PGK,Male,1919
388,PN,1914,1946,0,32,,,PGK,Male,
389,PB,,,1,,,1,PGK,Male,1919
390,PB,,,0,,,,PGK,Male,
391,PS,1912,1946,0,34,,,PGK,Male,
392,PB,1920,1921,1,1,,1,PGK,Male,1920
393,NA,,,1,,1,,PGK,Male,1920
394,KK,1909,1927,0,18,,,PGK,Male,
395,SL,1919,1946,0,27,,,PGK,Male,
396,NA,,,1,,1,,PGK,Male,1941
397,DG,1923,1929,1,6,,1,PGK,Male,1928
398,PN,1944,1946,0,2,,,PGK,Male,
399,KB,1933,1937,0,4,,,PGK,Male,
400,CB,1919,1946,0,27,,,PGK,Male,
401,PN,,,0,,,,PGK,Male,
402,PN,1935,1936,1,1,,1,PGK,Male,1935
403,GB,1927,1929,1,2,,1,PGK,Male,1928
404,GB,1905,1924,0,19,,,PGK,Male,
405,CB,1919,1946,0,27,,,PGK,Male,
406,PB,1923,1939,1,16,1,,PGK,Male,1938
407,HB,1932,1944,1,12,1,,PGK,Male,1943
408,SL,1919,1931,1,12,1,,PGK,Male,1930
409,HN,1919,1939,0,20,,,PGK,Male,
410,NA,1942,1946,0,4,,,PGK,Male,
411,KK,1908,1946,0,38,,,PGK,Male,
412,CB,1908,1946,0,38,,,PGK,Male,
413,PN,1927,1929,0,2,,,PGK,Male,
414,HN,1919,1938,0,19,,,PGK,Male,
415,KK,1927,1938,1,11,,1,PGK,Male,
